"Format","PiBoSo CSV File"
"Venue","Victoria Circuit"
"Vehicle","Kawasaki Ninja 1000"
"User","D4rw1n"
"Data Source","GP Bikes"
"Comment",""
"Date","04/17/19"
"Time","12:33:53"
"Sample Rate","10"
"Duration","210.499"
"Segment","Session"
"Beacon Markers","14.918, 201.670"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","Throttle","FrontBrake","RearBrake","Clutch","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","%","%","deg/s","m","m"

"2.900","4397.498","2025","85.627258","85.527328","0","0.001019","0.000493","0.003431","-3.433084","0.000000","0.000000","0.000000","100.000000","0.197227","-215.350800","-172.110168"
"3.000","4397.498","2025","85.647186","85.547256","0","0.001073","0.001835","0.004947","-3.438481","0.000000","0.000000","0.000000","100.000000","0.024580","-215.350800","-172.110153"
"3.100","4397.498","2025","85.667114","85.567184","0","0.027494","-0.000549","-0.010854","-3.429796","0.000000","0.000000","0.000000","100.000000","0.025936","-215.350800","-172.110199"
"3.200","4397.498","2025","85.687042","85.587112","0","0.000161","-0.000936","0.016290","-3.429728","0.000000","0.000000","0.000000","100.000000","-0.027033","-215.350784","-172.110229"
"3.300","4397.498","2025","85.706970","85.607040","0","0.038843","-0.002343","-0.015808","-3.424148","0.000000","0.000000","0.000000","100.000000","0.093685","-215.350784","-172.110260"
"3.400","4397.498","2025","85.726898","85.626968","0","0.000644","0.002467","-0.009559","-3.442231","0.000000","0.000000","0.000000","100.000000","-0.055644","-215.350784","-172.110260"
"3.500","4397.498","2025","85.746826","85.646896","0","0.000536","-0.001177","-0.010464","-3.435433","0.000000","0.000000","0.000000","100.000000","-0.062707","-215.350800","-172.110229"
"3.600","4397.498","2025","85.766754","85.666824","0","0.000161","-0.004670","0.000474","-3.429915","0.000000","0.000000","0.000000","100.000000","-0.046133","-215.350800","-172.110229"
"3.700","4397.498","2025","85.786682","85.686752","0","0.038844","0.014035","0.000015","-3.438900","0.000000","0.000000","0.000000","100.000000","-0.034490","-215.350815","-172.110245"
"3.800","4397.498","2025","85.806610","85.706680","0","0.000107","-0.000993","0.009221","-3.432278","0.000000","0.000000","0.000000","100.000000","0.199361","-215.350800","-172.110245"
"3.900","4397.498","2025","85.826538","85.726608","0","0.000644","-0.001285","0.006179","-3.431368","0.000000","0.000000","0.000000","100.000000","0.089513","-215.350815","-172.110214"
"4.000","4397.498","2025","85.846458","85.746544","0","0.027466","0.004556","-0.006817","-3.433768","0.000000","0.000000","0.000000","100.000000","0.049087","-215.350830","-172.110214"
"4.100","4397.498","2025","85.866386","85.766472","0","0.002575","-0.002459","-0.011155","-3.432612","0.000000","0.000000","0.000000","100.000000","0.002402","-215.350830","-172.110214"
"4.200","4397.498","2025","85.886314","85.786400","0","0.000644","-0.003765","0.004696","-3.426467","0.000000","0.000000","0.000000","100.000000","0.195358","-215.350830","-172.110229"
"4.300","4397.498","2025","85.906242","85.806328","0","0.000858","-0.000953","-0.003299","-3.430772","0.000000","0.000000","0.000000","100.000000","-0.024566","-215.350815","-172.110245"
"4.400","4397.498","2025","85.926170","85.826256","0","0.027469","-0.004780","-0.019883","-3.421887","0.000000","0.000000","0.000000","100.000000","-0.010799","-215.350815","-172.110229"
"4.500","4397.498","2025","85.946098","85.846184","0","0.004077","-0.004694","0.004836","-3.423232","0.000000","0.000000","0.000000","100.000000","-0.050636","-215.350815","-172.110245"
"4.600","4397.498","2025","85.966019","85.866112","0","0.002736","-0.006635","-0.005444","-3.428624","0.000000","0.000000","0.000000","100.000000","-0.003201","-215.350815","-172.110245"
"4.700","4397.498","2025","85.985947","85.886032","0","0.000215","0.007475","0.002115","-3.429608","0.000000","0.000000","0.000000","100.000000","0.074020","-215.350830","-172.110229"
"4.800","4397.498","2025","86.005875","85.905960","0","0.000751","0.005041","-0.013456","-3.428277","0.000000","0.000000","0.000000","100.000000","0.116981","-215.350830","-172.110245"
"4.900","4397.498","2025","86.025795","85.925888","0","0.001019","0.004905","0.005619","-3.423234","0.000000","0.000000","0.000000","100.000000","0.062511","-215.350815","-172.110245"
"5.000","4397.498","2025","86.045723","85.945808","0","0.027660","0.004275","-0.001419","-3.416909","0.000000","0.000000","0.000000","100.000000","0.007005","-215.350830","-172.110245"
"5.101","4397.498","2025","86.066048","85.966141","0","0.000268","-0.001855","0.015678","-3.427241","0.000000","0.000000","0.000000","100.000000","0.146413","-215.350830","-172.110245"
"5.201","4397.498","2025","86.085968","85.986061","0","0.027466","0.005143","0.010794","-3.422848","0.000000","0.000000","0.000000","100.000000","-0.086127","-215.350830","-172.110275"
"5.301","4397.498","2025","86.105896","86.005989","0","0.002253","-0.006333","-0.007660","-3.426393","0.000000","0.000000","0.000000","100.000000","-0.028865","-215.350830","-172.110245"
"5.401","4397.498","2025","86.125816","86.025909","0","0.000268","-0.004714","-0.009095","-3.426852","0.000000","0.000000","0.000000","100.000000","-0.174422","-215.350830","-172.110260"
"5.501","4397.498","2025","86.145744","86.045837","0","0.000858","0.001335","-0.007969","-3.423730","0.000000","0.000000","0.000000","100.000000","-0.037194","-215.350830","-172.110229"
"5.601","4397.498","2025","86.165665","86.065765","0","0.002307","-0.003518","-0.005099","-3.414626","0.000000","0.000000","0.000000","100.000000","0.014212","-215.350830","-172.110245"
"5.701","4397.498","2025","86.185593","86.085686","0","0.002843","-0.004074","-0.004026","-3.417238","0.000000","0.000000","0.000000","100.000000","-0.079538","-215.350830","-172.110245"
"5.801","4397.498","2025","86.205513","86.105614","0","0.000858","-0.003354","-0.002354","-3.411047","0.000000","0.000000","0.000000","100.000000","0.099323","-215.350830","-172.110260"
"5.901","4397.498","2025","86.225433","86.125534","0","0.001717","-0.000515","-0.006150","-3.409533","0.000000","0.000000","0.000000","100.000000","-0.072692","-215.350830","-172.110260"
"6.001","4397.498","2025","86.245354","86.145462","0","0.000966","0.001187","-0.008552","-3.413944","0.000000","0.000000","0.000000","100.000000","0.010217","-215.350830","-172.110245"
"6.101","4397.498","2025","86.265282","86.165382","0","0.001717","0.003656","0.013117","-3.412282","0.000000","0.000000","0.000000","100.000000","-0.117135","-215.350830","-172.110245"
"6.201","4397.498","2025","86.285202","86.185310","0","0.001395","0.000607","0.003459","-3.414423","0.000000","0.000000","0.000000","100.000000","0.046843","-215.350845","-172.110245"
"6.301","4397.498","2025","86.305122","86.205231","0","0.000805","0.000940","0.012701","-3.414061","0.000000","0.000000","0.000000","100.000000","-0.076580","-215.350830","-172.110291"
"6.401","4397.498","2025","86.325043","86.225159","0","0.000161","-0.006438","-0.006029","-3.419898","0.000000","0.000000","0.000000","100.000000","0.064541","-215.350845","-172.110245"
"6.501","4397.498","2025","86.344971","86.245079","0","0.001878","-0.004546","0.005772","-3.413100","0.000000","0.000000","0.000000","100.000000","0.259449","-215.350845","-172.110291"
"6.601","4397.498","2025","86.364891","86.265007","0","0.000590","0.000153","-0.001359","-3.424817","0.000000","0.000000","0.000000","100.000000","0.045326","-215.350876","-172.110275"
"6.701","4397.498","2025","86.384811","86.284927","0","0.001931","-0.005800","0.011092","-3.430051","0.000000","0.000000","0.000000","100.000000","-0.046721","-215.350876","-172.110275"
"6.801","4397.498","2025","86.404732","86.304848","0","0.000644","0.007799","-0.008480","-3.420644","0.000000","0.000000","0.000000","100.000000","0.084954","-215.350861","-172.110321"
"6.901","4397.498","2025","86.424652","86.324768","0","0.001770","0.003405","0.006537","-3.426776","0.000000","0.000000","0.000000","100.000000","0.011387","-215.350876","-172.110291"
"7.001","4397.498","2025","86.444572","86.344688","0","0.001287","0.002034","-0.011790","-3.422302","0.000000","0.000000","0.000000","100.000000","-0.029721","-215.350861","-172.110306"
"7.101","4397.498","2025","86.464493","86.364609","0","0.027468","0.003172","0.006270","-3.420295","0.000000","0.000000","0.000000","100.000000","-0.061049","-215.350861","-172.110306"
"7.201","4397.498","2025","86.484406","86.384529","0","0.002468","-0.001933","-0.001351","-3.422512","0.000000","0.000000","0.000000","100.000000","-0.042304","-215.350861","-172.110275"
"7.301","4397.498","2025","86.504326","86.404449","0","0.001234","-0.002024","0.008852","-3.413245","0.000000","0.000000","0.000000","100.000000","0.030627","-215.350876","-172.110260"
"7.401","4397.498","2025","86.524246","86.424370","0","0.000268","-0.005817","-0.005556","-3.410998","0.000000","0.000000","0.000000","100.000000","-0.056684","-215.350876","-172.110260"
"7.501","4397.498","2025","86.544167","86.444298","0","0.001287","0.007793","0.005761","-3.414053","0.000000","0.000000","0.000000","100.000000","-0.052672","-215.350891","-172.110275"
"7.601","4397.498","2025","86.564087","86.464218","0","0.001287","0.000176","0.012051","-3.426950","0.000000","0.000000","0.000000","100.000000","-0.073819","-215.350906","-172.110260"
"7.701","4397.498","2025","86.584000","86.484138","0","0.027550","-0.001143","0.001010","-3.423528","0.392157","0.000000","0.000000","100.000000","0.127014","-215.350906","-172.110275"
"7.801","4397.498","2025","86.603920","86.504051","0","0.000107","0.000416","-0.004303","-3.431388","0.000000","0.000000","0.000000","100.000000","-0.050537","-215.350906","-172.110260"
"7.901","4397.498","2025","86.623840","86.523979","0","0.000215","0.006292","0.009521","-3.424475","0.000000","0.000000","0.000000","100.000000","0.162346","-215.350906","-172.110275"
"8.001","4397.498","2025","86.643753","86.543892","0","0.001234","-0.001811","-0.005145","-3.419850","0.000000","0.000000","0.000000","100.000000","-0.099217","-215.350906","-172.110275"
"8.101","4397.498","2025","86.663673","86.563812","0","0.001234","0.000761","-0.002963","-3.420959","0.000000","0.000000","0.000000","100.000000","-0.016227","-215.350906","-172.110291"
"8.201","4397.498","2831","86.703949","86.584633","0","0.005579","-0.007899","0.003712","-3.424695","63.137257","0.000000","0.000000","74.787148","-0.038891","-215.350845","-172.110489"
"8.301","4397.498","5959","86.888573","86.620445","0","0.031619","-0.011452","-0.004593","-3.329798","72.941177","0.000000","0.000000","0.000000","0.103131","-215.350510","-172.111298"
"8.401","4397.498","10323","87.348038","86.707886","0","0.028873","-0.006162","0.014228","-3.259861","73.333336","0.000000","0.000000","2.666667","-0.172294","-215.350235","-172.111908"
"8.501","4397.498","14004","87.936264","86.885071","0","0.029748","-0.007439","-0.013799","-3.214300","73.333336","0.000000","0.000000","69.333282","-0.080474","-215.350159","-172.111938"
"8.601","4397.498","14044","88.122261","87.092178","1","0.063226","-0.012641","0.009228","-3.280008","73.333336","0.000000","0.000000","89.142860","0.164634","-215.350784","-172.110855"
"8.701","4397.497","13947","88.336830","87.296318","1","0.344258","0.004470","0.222439","-3.228487","70.980392","0.000000","0.000000","60.571449","-1.745263","-215.350296","-172.113113"
"8.801","4397.495","13785","88.780914","87.519485","1","2.361856","0.014324","0.780577","-2.517232","62.352943","0.000000","0.000000","31.999964","-2.726409","-215.341476","-172.145325"
"8.901","4397.490","10543","89.217247","87.776070","1","7.051280","0.051838","1.681651","-1.135248","60.000004","0.000000","0.000000","3.428477","-2.506645","-215.307205","-172.262543"
"9.001","4397.486","5731","89.355469","88.021736","1","11.077511","0.190755","0.549377","0.472919","60.000004","0.000000","0.000000","0.000000","8.773560","-215.225876","-172.516281"
"9.101","4397.489","5709","89.391342","88.222824","1","12.455901","0.012598","0.536379","0.071787","60.000004","0.000000","0.000000","0.000000","20.087963","-215.118576","-172.822540"
"9.201","4397.508","5645","89.451759","88.388779","1","14.297670","0.052076","0.597509","0.299854","60.000004","0.000000","0.000000","0.000000","41.072166","-214.981735","-173.167892"
"9.301","4397.538","5118","89.487984","88.527107","1","15.485070","0.249104","-0.667961","-0.342424","52.156864","0.000000","0.000000","0.000000","68.490288","-214.819244","-173.553757"
"9.401","4397.502","2796","89.361244","88.620979","1","19.421881","0.892488","0.563237","-5.516816","49.803921","0.000000","0.000000","49.399246","82.427223","-214.693069","-174.037567"
"9.501","4397.288","2794","89.321938","88.679596","1","19.130409","-0.400456","0.487683","-4.688601","45.490196","0.000000","0.000000","55.439335","17.590075","-214.739532","-174.568665"
"9.601","4397.075","2793","89.293083","88.718323","1","19.605089","-0.415964","0.263856","-3.403343","43.921570","0.000000","0.000000","56.938011","7.779891","-214.781967","-175.105362"
"9.701","4396.869","2791","89.271538","88.742203","1","20.560743","-0.407938","0.248575","0.521173","42.352943","0.000000","0.000000","58.456062","-9.739851","-214.811371","-175.663040"
"9.801","4396.674","2787","89.251793","88.754662","1","21.599343","-0.748565","0.238261","5.591593","38.823528","0.000000","0.000000","62.086010","-30.188080","-214.818619","-176.247528"
"9.901","4396.538","2780","89.225601","88.757751","1","23.308934","-0.922876","-0.060863","13.608427","32.549019","0.000000","0.000000","69.593513","-62.529617","-214.753235","-176.865646"
"10.001","4396.516","2781","89.200317","88.753349","1","25.410373","-0.945391","-0.243122","18.559549","31.764708","0.000000","0.000000","68.796402","-90.362526","-214.557526","-177.512329"
"10.101","4396.658","2776","89.175003","88.743439","1","26.155546","-0.712947","-0.269810","15.730486","28.627453","0.000000","0.000000","73.665657","-81.992462","-214.196259","-178.135437"
"10.201","4396.942","2709","89.144127","88.729073","1","25.849939","-0.717646","-0.291054","14.069755","23.921568","0.000000","0.000000","100.000000","-74.644012","-213.714127","-178.671692"
"10.301","4397.332","2157","89.099449","88.709946","1","25.702340","-0.656642","-0.265800","12.760635","18.431374","0.000000","0.000000","100.000000","-66.949959","-213.152054","-179.115677"
"10.401","4397.809","2025","89.060951","88.686470","1","25.581859","-0.665827","-0.224829","13.093882","16.078432","0.000000","0.000000","100.000000","-65.291092","-212.531250","-179.462479"
"10.501","4398.367","2025","89.026863","88.661278","1","25.496815","-0.506935","-0.204074","13.290099","16.078432","0.000000","0.000000","100.000000","-69.201759","-211.861832","-179.696976"
"10.601","4398.968","2025","88.994278","88.635017","1","24.590566","-0.323679","-0.135322","9.680797","16.078432","0.000000","0.000000","100.000000","-48.619144","-211.179642","-179.839996"
"10.701","4399.563","2025","88.962791","88.608406","1","23.765632","-0.404409","-0.081562","7.070957","16.078432","0.000000","0.000000","100.000000","-33.653149","-210.517487","-179.939911"
"10.801","4400.160","2025","88.932182","88.581718","1","23.572362","-0.481112","-0.060477","6.928129","17.647058","0.000000","0.000000","100.000000","-34.572128","-209.864685","-180.006226"
"10.901","4400.774","2025","88.902275","88.554871","1","23.624476","-0.476080","-0.072419","7.534292","18.431374","0.000000","0.000000","100.000000","-38.590401","-209.209579","-180.024414"
"11.001","4401.404","2025","88.872894","88.527832","1","23.424326","-0.178197","-0.037042","4.485312","18.823530","0.000000","0.000000","100.000000","-26.115860","-208.555023","-179.994110"
"11.101","4402.024","2025","88.843956","88.501038","1","22.872625","-0.480921","-0.032001","3.093474","19.607843","0.000000","0.000000","100.000000","-16.434490","-207.915421","-179.949631"
"11.201","4402.646","2025","88.815437","88.474442","1","23.149678","-0.753693","-0.058855","7.672498","19.607843","0.000000","0.000000","100.000000","-35.585121","-207.282104","-179.878952"
"11.301","4403.301","2025","88.787247","88.447670","1","24.356104","-0.955468","-0.207183","15.699688","19.607843","0.000000","0.000000","100.000000","-72.998238","-206.642197","-179.727249"
"11.401","4403.985","2025","88.759323","88.421043","1","25.407772","-0.944557","-0.307753","17.458721","23.137255","0.000000","0.000000","100.000000","-92.138809","-206.021255","-179.428665"
"11.501","4404.635","2030","88.731758","88.394485","1","24.444129","-0.357097","-0.213990","15.905476","26.274511","0.000000","0.000000","100.000000","-81.364891","-205.485489","-178.986099"
"11.601","4405.222","2250","88.709778","88.368668","1","23.033314","-0.012677","-0.112459","11.234303","30.196079","0.000000","0.000000","100.000000","-47.410763","-205.025711","-178.513962"
"11.701","4405.772","2732","88.699303","88.345612","1","22.250537","-0.079015","-0.045647","8.657172","34.509804","0.000000","0.000000","100.000000","-34.285133","-204.600693","-178.053085"
"11.801","4406.309","2784","88.699142","88.326050","1","22.370420","-0.002745","0.098967","6.862789","36.078434","0.000000","0.000000","65.157112","-25.869564","-204.191345","-177.587601"
"11.901","4406.845","2786","88.698547","88.308723","1","22.626798","0.305263","0.142088","3.565926","37.254902","0.000000","0.000000","63.801201","-12.570736","-203.786789","-177.111679"
"12.001","4407.409","2788","88.697838","88.292633","1","23.554585","0.827447","0.158328","-7.744445","39.215687","0.000000","0.000000","61.648636","39.113342","-203.348129","-176.648499"
"12.101","4408.054","2791","88.697891","88.276367","1","25.722362","0.948978","0.075560","-17.152933","40.392159","0.000000","0.000000","58.112984","89.790039","-202.809082","-176.230972"
"12.201","4408.789","2799","88.702560","88.259369","1","27.538155","0.592308","0.163660","-15.900793","45.098038","0.000000","0.000000","50.096691","90.404617","-202.141678","-175.907959"
"12.301","4409.553","2804","88.709526","88.242203","1","27.324153","-0.077285","0.235653","-9.916107","48.235294","0.000000","0.000000","45.641678","50.848133","-201.410690","-175.685974"
"12.401","4410.310","2807","88.715225","88.225853","1","27.450776","-0.254327","0.304605","-0.717754","49.019608","0.000000","0.000000","42.474659","-1.411725","-200.687576","-175.460510"
"12.501","4411.089","2817","88.720848","88.209351","1","28.779195","-0.113361","0.377920","2.071709","51.764709","0.000000","0.000000","33.866207","-14.290229","-199.955322","-175.193314"
"12.601","4411.910","2831","88.727760","88.191803","1","30.334903","-0.039625","0.411315","1.896106","54.117649","0.000000","0.000000","17.135319","-12.721578","-199.192688","-174.887970"
"12.701","4412.776","2944","88.744339","88.173630","1","32.148729","0.010912","0.515821","0.754020","61.568630","0.000000","0.000000","0.000000","-6.533933","-198.391541","-174.552078"
"12.801","4413.692","3120","88.768364","88.156090","1","33.955815","-0.204763","0.506571","2.172894","63.921570","0.000000","0.000000","0.000000","-13.477596","-197.548340","-174.187607"
"12.901","4414.652","3276","88.792313","88.139412","1","35.647023","0.007662","0.512644","2.183826","63.921570","0.000000","0.000000","0.000000","-16.758377","-196.674149","-173.774750"
"13.001","4415.660","3443","88.815269","88.123329","1","37.491384","0.225472","0.529439","-0.319803","63.921570","0.000000","0.000000","0.000000","1.029259","-195.761765","-173.328247"
"13.101","4416.723","3618","88.837906","88.107475","1","39.500004","0.382003","0.523268","-2.484323","63.921570","0.000000","0.000000","0.000000","14.739905","-194.792999","-172.874969"
"13.201","4417.847","3800","88.860603","88.091614","1","41.602011","0.532693","0.505373","-4.808578","63.921570","0.000000","0.000000","0.000000","35.935436","-193.752457","-172.443329"
"13.301","4419.032","3954","88.883240","88.075699","1","43.563531","0.310116","0.504061","-3.693981","63.921570","0.000000","0.000000","0.000000","33.146641","-192.629913","-172.064041"
"13.401","4420.261","4081","88.904579","88.060059","1","44.986380","0.005939","0.490905","-0.814738","63.921570","0.000000","0.000000","0.000000","6.355282","-191.448532","-171.719116"
"13.501","4421.533","4220","88.924812","88.044701","1","46.656536","-0.042776","0.513920","0.168413","63.921570","0.000000","0.000000","0.000000","-4.876942","-190.226913","-171.362198"
"13.601","4422.854","4393","88.948502","88.029419","1","48.538607","-0.003941","0.537971","-0.026314","67.058823","0.000000","0.000000","0.000000","-3.954031","-188.961685","-170.977997"
"13.701","4424.233","4664","89.001953","88.016426","1","50.818919","0.007868","0.682135","-0.313247","75.294121","0.000000","0.000000","0.000000","-2.796753","-187.644516","-170.568939"
"13.801","4425.679","4916","89.078499","88.009209","1","53.265495","-0.012852","0.737586","-0.384444","76.862747","0.000000","0.000000","0.000000","-1.443587","-186.265335","-170.135101"
"13.901","4427.196","5167","89.165520","88.008629","1","56.004322","-0.145551","0.765898","0.697091","76.862747","0.000000","0.000000","0.000000","-8.882166","-184.820145","-169.671234"
"14.001","4428.790","5412","89.256760","88.014328","1","58.659192","-0.032905","0.771066","0.348602","76.862747","0.000000","0.000000","0.000000","-11.031079","-183.311768","-169.158356"
"14.101","4430.458","5667","89.349945","88.025536","1","61.422700","0.161217","0.771086","-1.037610","76.862747","0.000000","0.000000","0.000000","2.652625","-181.738434","-168.603561"
"14.201","4432.203","5935","89.446434","88.041389","1","64.229123","0.251556","0.782369","-1.315034","76.862747","0.000000","0.000000","0.000000","9.850983","-180.087799","-168.036194"
"14.301","4434.029","6193","89.546844","88.061523","1","67.146810","0.318073","0.785815","-1.616947","76.862747","0.000000","0.000000","0.000000","8.603801","-178.351685","-167.470413"
"14.401","4435.934","6463","89.652222","88.085831","1","70.118104","0.520093","0.809887","-2.672278","76.862747","0.000000","0.000000","0.000000","24.440784","-176.525192","-166.925079"
"14.501","4437.917","6703","89.764755","88.114403","1","72.958543","0.224465","0.795857","-1.052318","76.862747","0.000000","0.000000","0.000000","13.020968","-174.598465","-166.428894"
"14.601","4439.971","6944","89.882339","88.147682","1","75.580369","0.049746","0.813006","-0.459492","76.078430","0.000000","0.000000","0.000000","-5.227977","-172.591537","-165.953125"
"14.701","4442.101","7187","90.002075","88.185257","1","78.468523","0.095558","0.832789","-1.150863","76.078430","0.000000","0.000000","0.000000","0.023195","-170.511230","-165.456284"
"14.801","4444.313","7418","90.126442","88.226746","1","81.355442","0.075901","0.811536","-1.105366","76.078430","0.000000","0.000000","0.000000","4.536401","-168.351303","-164.939636"
"14.901","4446.603","7658","90.255249","88.272270","1","84.269566","0.056670","0.818343","-0.809216","75.294121","0.000000","0.000000","0.000000","0.854980","-166.112000","-164.411255"
"15.001","1.971","7916","90.390007","88.321716","1","87.141193","0.034949","0.829115","-0.799884","75.294121","0.000000","0.000000","0.000000","-0.343622","-163.793350","-163.867722"
"15.101","4.421","8189","90.536171","88.375893","1","90.096906","0.119160","0.853405","-1.220243","75.294121","0.000000","0.000000","0.000000","4.526600","-161.396317","-163.308228"
"15.201","6.952","8453","90.689278","88.435211","1","93.068042","0.031783","0.857592","-0.890131","75.294121","0.000000","0.000000","0.000000","2.710575","-158.916946","-162.739288"
"15.301","9.566","8703","90.845993","88.499451","1","96.077472","-0.037434","0.856648","-0.613966","75.294121","0.000000","0.000000","0.000000","-1.829936","-156.354874","-162.155655"
"15.401","12.263","8968","91.005493","88.568130","1","98.989934","-0.079693","0.833519","-0.571418","75.294121","0.000000","0.000000","0.000000","-5.215981","-153.715729","-161.540771"
"15.501","15.043","9231","91.167496","88.640862","1","102.023705","0.021364","0.884561","-0.884488","75.294121","0.000000","0.000000","0.000000","1.625699","-151.001083","-160.889801"
"15.601","17.908","9474","91.329674","88.716850","1","105.148217","0.002016","0.837799","-0.649080","75.294121","0.000000","0.000000","0.000000","0.954007","-148.204407","-160.215668"
